figure 1A,figure 1B,figure 1C
4.39257,6.230757,3.901948
4.360771,3.646237,3.011115
2.949325,5.550189,5.502984
5.349601,5.64996,3.862693
4.297534,3.48419,3.022423
3.691581,2.158889,4.447459
5.139952,5.583355,5.126422
4.884026,6.057218,3.277426
3.133439,4.037505,4.518564
1.893298,1.908754,3.011115
5.349601,6.477502,5.94519
4.39257,4.008948,4.377005
4.360771,2.845742,3.033755
3.093497,6.091745,4.898881
2.733556,3.701006,3.862693
1.822091,2.223635,3.421579
5.384967,5.616612,5.405109
4.783561,3.247499,3.313128
2.949325,2.749132,2.436527
2.225786,7.206738,5.486985
5.967368,5.063653,4.475822
3.853439,3.195945,2.877331
2.949325,6.126363,5.019492
3.547576,5.255799,4.883924